,name,date_of_emergence_min,adults_id,well_number,larviposition_id,larviposition_date,larviposition_number,weekend,abortion_stage,abortion,wet_weight,pupa_length,pupa_width,emerged,date_emerged,date_of_death,weekend_death,sex,treatment,weight_emerged,dry_weight,residual_dry_weight,mAgeDays,fat,mAgeBins,pred1,pred2
865,Control,27/07/2018,45,d9,872,29/09/2018,5,1,0,0,33.1,NA,NA,1,29/10/2018,09/11/2018,0,f,emergence only,33.1,NA,NA,64,NA,62,35.74925484,35.28067495
866,Control,27/07/2018,47,d11,873,30/09/2018,5,1,0,0,36.1,NA,NA,1,31/10/2018,12/11/2018,1,m,emergence only,36.1,NA,NA,65,NA,62,35.75147764,34.84373609
867,Control,27/07/2018,50,e2,874,29/09/2018,5,1,0,0,37.3,NA,NA,1,31/10/2018,12/11/2018,1,m,emergence only,37.3,NA,NA,64,NA,62,35.74925484,36.07002693
868,Control,27/07/2018,52,e4,875,30/09/2018,5,1,0,0,38.1,NA,NA,1,30/10/2018,12/11/2018,1,f,emergence only,38.1,NA,NA,65,NA,62,35.75147764,36.88202114
869,Control,27/07/2018,54,e6,876,30/09/2018,5,1,0,0,36.6,NA,NA,1,01/11/2018,12/11/2018,1,m,emergence only,36.6,NA,NA,65,NA,62,35.75147764,36.21860574
870,Control,27/07/2018,65,f5,877,30/09/2018,5,1,0,0,40.4,NA,NA,1,29/10/2018,12/11/2018,1,f,emergence only,40.4,NA,NA,65,NA,62,35.75147764,38.15147424
871,Control,27/07/2018,70,f10,878,30/09/2018,4,1,0,0,42.4,NA,NA,1,29/10/2018,12/11/2018,1,f,emergence only,42.4,NA,NA,65,NA,62,35.75147764,37.29348819
872,Control,27/07/2018,71,f11,879,30/09/2018,5,1,0,0,37.3,NA,NA,0,NA,NA,0,NA,fat analysis,37.3,12.8,7.6,65,5.2,62,35.75147764,37.29855015
873,Control,27/07/2018,79,g7,880,01/10/2018,5,1,0,0,34.6,NA,NA,1,02/11/2018,12/11/2018,1,m,emergence only,34.6,NA,NA,66,NA,62,35.74567333,32.66525817
874,Control,27/07/2018,83,g11,881,30/09/2018,5,1,0,0,36.3,NA,NA,0,NA,NA,0,NA,fat analysis,36.3,12.8,8.6,65,4.2,62,35.75147764,34.99356809
875,Control,27/07/2018,86,h2,882,29/09/2018,5,1,0,0,33.8,NA,NA,1,29/10/2018,07/11/2018,0,m,emergence only,33.8,NA,NA,64,NA,62,35.74925484,34.75693869
911,Control,27/07/2018,1,a1,918,02/10/2018,5,0,0,0,34,NA,NA,1,01/11/2018,12/11/2018,1,f,emergence only,34,NA,NA,67,NA,62,35.73184191,33.61622751
912,Control,27/07/2018,18,b6,919,02/10/2018,5,0,0,0,37.8,6.55,3.89,1,01/11/2018,13/11/2018,0,f,measurment and emergence,37.8,NA,NA,67,NA,62,35.73184191,36.93039006
913,Control,27/07/2018,37,d1,920,02/10/2018,3,0,0,0,29.5,NA,NA,0,NA,NA,0,NA,fat analysis,29.5,10.1,7.2,67,2.9,62,35.73184191,31.18789758
914,Control,27/07/2018,38,d2,921,02/10/2018,4,0,0,0,32,6.1,3.29,0,NA,NA,0,NA,measurment and emergence,NA,NA,NA,67,NA,62,35.73184191,33.9093895
915,Control,27/07/2018,42,d6,922,02/10/2018,5,0,0,0,37,NA,NA,1,01/11/2018,12/11/2018,1,f,emergence only,37,NA,NA,67,NA,62,35.73184191,37.53689098
916,Control,27/07/2018,58,e10,923,02/10/2018,5,0,0,0,38,NA,NA,0,NA,NA,0,NA,fat analysis,38,13.4,8.4,67,5,62,35.73184191,37.26421609
917,Control,27/07/2018,59,e11,924,02/10/2018,5,0,0,0,34.2,NA,NA,0,NA,NA,0,NA,fat analysis,34.2,12.3,7.5,67,4.8,62,35.73184191,36.25339747
918,Control,27/07/2018,78,g6,925,02/10/2018,5,0,0,0,34.8,6.09,3.55,1,03/11/2018,12/11/2018,1,f,measurment and emergence,34.8,NA,NA,67,NA,62,35.73184191,36.12722101
919,Control,27/07/2018,93,h9,926,02/10/2018,5,0,0,0,32.4,5.8,3.59,1,03/11/2018,12/11/2018,1,f,measurment and emergence,32.4,NA,NA,67,NA,62,35.73184191,32.55375891
920,Control,27/07/2018,96,h12,927,02/10/2018,5,0,0,0,40.6,NA,NA,0,NA,NA,0,NA,fat analysis,40.6,15.2,9.7,67,5.5,62,35.73184191,36.56494335
935,Control,27/07/2018,24,b12,942,03/10/2018,5,0,0,0,35.7,NA,NA,0,NA,NA,0,NA,fat analysis,35.7,13,8.5,68,4.5,72,35.70998337,34.27191043
936,Control,27/07/2018,15,b3,943,03/10/2018,4,0,0,0,33.3,NA,NA,0,NA,NA,0,NA,fat analysis,33.3,12.2,7.8,68,4.4,72,35.70998337,35.53416258
937,Control,27/07/2018,49,e1,944,03/10/2018,5,0,0,0,33.9,NA,NA,0,NA,NA,0,NA,fat analysis,33.9,NA,NA,68,NA,72,35.70998337,32.88410715
938,Control,27/07/2018,80,g8,945,03/10/2018,5,0,0,0,37.3,NA,NA,1,05/11/2018,14/11/2018,0,m,emergence only,37.3,NA,NA,68,NA,72,35.70998337,35.55417563
950,Control,27/07/2018,4,a4,957,04/10/2018,5,0,0,0,29.6,6.01,3.45,1,02/11/2018,12/11/2018,1,f,measurment and emergence,29.6,NA,NA,69,NA,72,35.68009772,33.85356509
951,Control,27/07/2018,19,b7,958,04/10/2018,5,0,0,0,29.7,NA,NA,1,05/11/2018,12/11/2018,1,m,emergence only,29.7,NA,NA,69,NA,72,35.68009772,34.33336594
952,Control,27/07/2018,23,b11,959,04/10/2018,6,0,0,0,34.3,NA,NA,1,05/11/2018,14/11/2018,0,m,emergence only,34.3,NA,NA,69,NA,72,35.68009772,37.38932222
953,Control,27/07/2018,64,f4,960,04/10/2018,5,0,0,0,34.2,NA,NA,0,NA,NA,0,NA,fat analysis,34.2,12,8,69,4,72,35.68009772,37.40370736
954,Control,27/07/2018,75,g3,961,04/10/2018,5,0,0,0,31,6.06,3.41,1,05/11/2018,14/11/2018,0,m,measurment and emergence,31,NA,NA,69,NA,72,35.68009772,34.43705745
955,Control,27/07/2018,95,h11,962,04/10/2018,4,0,0,0,35.9,NA,NA,1,05/11/2018,15/11/2018,0,m,emergence only,35.9,NA,NA,69,NA,72,35.68009772,35.34773665
956,Control,27/07/2018,25,c1,963,04/10/2018,5,0,0,0,40,NA,NA,1,02/11/2018,15/11/2018,0,f,emergence only,40,NA,NA,69,NA,72,35.68009772,36.24613928
974,Control,27/07/2018,3,a3,981,05/10/2018,4,0,0,0,34.6,6.3,3.49,1,06/11/2018,15/11/2018,0,m,measurment and emergence,34.6,NA,NA,70,NA,72,35.64218496,34.77493505
975,Control,27/07/2018,13,b1,982,05/10/2018,5,0,0,0,37.4,NA,NA,0,NA,NA,0,NA,fat analysis,37.4,13.2,8.4,70,4.8,72,35.64218496,35.64034976
976,Control,27/07/2018,21,b9,983,05/10/2018,6,0,0,0,35.5,5.9,3.67,1,05/11/2018,15/11/2018,0,f,measurment and emergence,35.5,NA,NA,70,NA,72,35.64218496,36.30873643
