Date,Tray,check,U_count,A_count,P_count,G_total,Mg_avg
18/05/12,11,-1,0,0,0,NA,NA
18/05/12,10,-1,0,0,0,NA,NA
18/05/12,9,-1,0,0,0,NA,NA
18/05/12,8,-1,0,2,80,2.16,27
18/05/12,7,-1,3,3,52,1.36,26.15
18/05/12,6,-1,3,2,58,1.49,25.69
18/05/12,5,-1,2,2,55,1.48,26.9
18/05/12,4,-1,4,3,80,2.12,26.5
18/05/12,3,-1,1,0,76,2.07,27.2
18/05/12,2,-1,7,5,76,2.01,26.45
18/05/12,1,-1,4,2,75,2.02,26.9
21/05/12,12,11,NA,NA,NA,NA,NA
21/05/12,11,-1,0,0,0,NA,NA
21/05/12,10,-1,0,0,0,NA,NA
21/05/12,9,-1,5,0,66,1.97,29.85
21/05/12,8,-1,16,1,174,4.13,23.74
21/05/12,7,-1,4,4,102,2.52,24.71
21/05/12,6,-1,10,7,157,4.03,25.67
21/05/12,5,-1,4,2,172,4.34,25.23
21/05/12,4,-1,7,2,132,3.33,25.23
21/05/12,3,-1,5,0,138,3.71,26.88
21/05/12,2,-1,5,3,171,4.55,26.61
21/05/12,1,-1,8,6,150,3.9,26
23/05/12,12,11,NA,NA,NA,NA,NA
23/05/12,11,-1,NA,NA,NA,NA,NA
23/05/12,10,-1,NA,NA,NA,NA,NA
23/05/12,9,-1,9,2,56,1.27,22.69
23/05/12,8,-1,4,2,37,0.83,22.44
23/05/12,7,-1,3,1,78,1.98,25.44
23/05/12,6,-1,3,6,50,1.2,24.09
23/05/12,5,-1,4,3,63,1.64,26.14
23/05/12,4,-1,2,3,65,1.73,26.75
23/05/12,3,-1,2,3,52,1.42,27.49
23/05/12,2,-1,6,5,58,1.5,26
23/05/12,1,-1,3,11,38,0.97,25.54
24/05/12,12,11,NA,NA,NA,NA,NA
24/05/12,11,-1,0,0,0,NA,NA
24/05/12,10,-1,0,0,0,NA,NA
24/05/12,9,-1,0,0,0,NA,NA
24/05/12,8,-1,5,3,63,1.46,23.17
24/05/12,7,-1,3,3,70,1.79,25.57
24/05/12,6,-1,8,3,153,3.83,25.03
24/05/12,5,-1,3,1,144,3.64,25.28
24/05/12,4,-1,8,2,95,2.46,25.89
24/05/12,3,-1,4,4,89,2.37,26.63
24/05/12,2,-1,6,2,96,2.61,27.19
24/05/12,1,-1,5,5,NA,NA,NA
28/05/12,12,11,NA,NA,NA,NA,NA
28/05/12,11,-1,NA,NA,NA,NA,NA
28/05/12,10,-1,0,0,0,NA,NA
28/05/12,9,-1,3,0,43,1.01,23.49
28/05/12,8,-1,1,3,89,2.1,23.6
28/05/12,7,-1,8,1,212,5.22,24.62
28/05/12,6,-1,2,5,173,4.19,24.22
28/05/12,5,-1,4,2,168,4.1,24.4
28/05/12,4,-1,4,1,132,3.32,25.15
28/05/12,3,-1,7,6,163,4.29,26.32
28/05/12,2,-1,10,8,122,3,24.59
28/05/12,1,-1,14,9,144,3.56,24.72
30/05/12,12,11,NA,NA,NA,NA,NA
30/05/12,11,-1,NA,NA,NA,NA,NA
30/05/12,10,-1,0,0,33,0.77,23.39
30/05/12,9,-1,NA,NA,NA,NA,NA
30/05/12,8,-1,2,1,42,1.05,25.01
30/05/12,7,-1,0,0,53,1.39,26.19
30/05/12,6,-1,2,1,27,0.68,25.19
30/05/12,5,-1,0,0,55,1.45,26.31
30/05/12,4,-1,4,0,88,2.42,27.56
30/05/12,3,-1,1,1,48,1.25,25.94
30/05/12,2,-1,3,0,26,0.69,26.43
30/05/12,1,-1,1,6,33,0.9,27.21
31/05/12,12,11,NA,NA,NA,NA,NA
31/05/12,11,-1,NA,NA,NA,NA,NA
31/05/12,10,-1,0,0,3,NA,NA
31/05/12,9,-1,0,3,42,NA,NA
31/05/12,8,-1,1,3,110,2.62,23.82
31/05/12,7,-1,2,2,156,3.92,25.13
31/05/12,6,-1,9,2,88,2.19,24.89
31/05/12,5,-1,9,2,142,3.58,25.21
31/05/12,4,-1,7,1,117,3.12,26.88
31/05/12,3,-1,7,2,117,3.11,26.58
31/05/12,2,-1,2,10,98,2.54,25.92
31/05/12,1,-1,13,7,NA,NA,NA
04/06/12,12,11,NA,NA,NA,NA,NA
04/06/12,11,-1,NA,NA,NA,NA,NA
04/06/12,10,-1,0,0,22,0.53,24.09
04/06/12,9,-1,4,8,85,1.76,20.71
04/06/12,8,-1,6,2,145,3.43,23.66
04/06/12,7,-1,8,0,140,3.38,24.14
04/06/12,6,-1,12,6,187,4.5,24.73
04/06/12,5,-1,7,1,202,5.01,24.8
04/06/12,4,-1,6,2,152,3.94,25.92
04/06/12,3,-1,1,1,153,3.92,25.62
04/06/12,2,-1,0,0,149,3.89,26.11
04/06/12,1,-1,6,5,154,3.67,23.83
06/06/12,12,11,0,0,0,NA,NA
06/06/12,11,-1,0,0,0,NA,NA
06/06/12,10,-1,0,1,54,1.32,24.38
06/06/12,9,-1,3,3,34,0.72,21.04
06/06/12,8,-1,0,0,37,0.91,24.51
06/06/12,7,-1,1,3,47,1.24,26.47
06/06/12,6,-1,7,1,39,1.01,25.9
06/06/12,5,-1,0,1,42,1.05,25
06/06/12,4,-1,1,0,64,1.71,26.76
06/06/12,3,-1,1,1,30,0.72,24
06/06/12,2,-1,0,3,32,0.83,25.91
06/06/12,1,-1,1,7,20,0.51,25.62
08/06/12,12,11,NA,NA,NA,NA,NA
08/06/12,11,-1,0,0,0,NA,NA
08/06/12,10,-1,0,0,1,NA,25.64
08/06/12,9,-1,8,0,46,1.2,NA
08/06/12,8,-1,7,1,53,1.31,24.72
08/06/12,7,-1,8,0,83,2.65,31.92
08/06/12,6,-1,14,1,82,2.35,28.71
08/06/12,5,-1,23,4,100,2.48,24.82
08/06/12,4,-1,13,2,77,2.13,27.64
08/06/12,3,-1,14,5,85,2.36,27.71
08/06/12,2,-1,18,4,112,3.19,28.52
08/06/12,1,-1,15,NA,76,2.41,31.65
11/06/12,12,11,NA,NA,NA,NA,NA
11/06/12,11,-1,NA,NA,NA,NA,NA
11/06/12,10,-1,1,1,21,0,0
11/06/12,9,-1,6,1,NA,4.45,25
11/06/12,8,-1,6,1,143,3.84,26.85
11/06/12,7,-1,8,3,193,5.06,26.22
11/06/12,6,-1,17,6,176,4.36,24.78
11/06/12,5,-1,21,2,142,3.65,25.7
11/06/12,4,-1,4,1,157,4.34,27.64
11/06/12,3,-1,18,1,133,3.64,27.37
11/06/12,2,-1,15,1,144,3.91,27.15
11/06/12,1,-1,17,3,109,2.83,25.96
13/06/12,12,11,0,0,1,NA,NA
13/06/12,11,-1,0,0,0,NA,NA
13/06/12,10,-1,0,0,20,0.51,25.4
13/06/12,9,-1,3,1,38,0.98,25.66
13/06/12,8,-1,3,1,47,1.27,26.94
13/06/12,7,-1,4,1,36,0.94,25.94
13/06/12,6,-1,3,2,29,0.79,27.21
13/06/12,5,-1,2,1,44,1.16,26.45
13/06/12,4,-1,6,2,40,1.38,34.55
13/06/12,3,-1,4,0,27,0.75,27.67
13/06/12,2,-1,8,3,38,1.01,26.5
13/06/12,1,-1,5,15,10,0.28,27.6
15/06/12,12,11,NA,NA,NA,NA,NA
15/06/12,11,-1,0,0,1,NA,NA
15/06/12,10,-1,0,0,2,NA,NA
15/06/12,9,-1,0,0,110,2.59,22.92
15/06/12,8,-1,1,3,109,3.07,28.17
15/06/12,7,-1,3,4,139,3.59,25.83
15/06/12,6,-1,9,3,135,3.55,26.3
15/06/12,5,-1,5,4,102,2.74,26.86
15/06/12,4,-1,12,1,144,3.77,26.18
15/06/12,3,-1,13,2,97,2.58,26.6
15/06/12,2,-1,14,2,125,3.38,27.04
15/06/12,1,-1,14,5,NA,NA,NA
18/06/12,12,11,NA,NA,NA,NA,NA
18/06/12,11,-1,NA,NA,NA,NA,NA
18/06/12,10,-1,0,0,56,1.37,24.64
18/06/12,9,-1,2,2,131,3.09,23.59
18/06/12,8,-1,2,2,123,3.28,26.67
18/06/12,7,-1,16,0,113,2.94,26.02
18/06/12,6,-1,15,2,134,3.49,26.04
18/06/12,5,-1,6,3,158,4.34,27.47
18/06/12,4,-1,13,1,108,2.83,26.2
18/06/12,3,-1,9,2,114,3.16,27.72
18/06/12,2,-1,15,0,133,3.64,27.37
18/06/12,1,-1,19,8,82,2.18,26.59
20/06/12,12,11,NA,NA,NA,NA,NA
20/06/12,11,-1,NA,NA,NA,NA,NA
20/06/12,10,-1,0,0,43,0.98,22.79
20/06/12,9,-1,0,1,39,0.96,24.61
20/06/12,8,-1,1,3,92,2.39,25.99
20/06/12,7,-1,1,1,107,2.8,26.41
20/06/12,6,-1,2,6,103,2.61,25.34
20/06/12,5,-1,1,1,96,2.51,26.14
20/06/12,4,-1,3,2,85,2.21,26
20/06/12,3,-1,2,1,98,2.61,26.63
20/06/12,2,-1,3,2,91,2.39,26.26
20/06/12,1,-1,5,6,67,1.69,24.48
22/06/12,12,11,NA,NA,NA,NA,NA
22/06/12,11,-1,NA,NA,1,NA,NA
22/06/12,10,-1,0,0,8,0,0
22/06/12,9,-1,20,0,37,1,NA
22/06/12,8,-1,5,1,49,1.26,25.71
22/06/12,7,-1,11,1,105,2.67,25.43
22/06/12,6,-1,8,2,86,2.2,25.58
22/06/12,5,-1,11,1,77,1.91,24.81
22/06/12,4,-1,9,1,60,1.59,26.5
22/06/12,3,-1,11,1,80,2.16,27
22/06/12,2,-1,12,3,77,2.01,26.1
22/06/12,1,-1,6,3,77,2.01,26.1
25/06/12,12,11,NA,NA,NA,NA,NA
25/06/12,11,-1,NA,NA,NA,NA,NA
25/06/12,10,-1,0,0,10,0.23,23
25/06/12,9,-1,6,5,228,5.66,24.82
25/06/12,8,-1,12,3,154,3.96,25.71
25/06/12,7,-1,6,1,147,3.98,27.07
